epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,21415.5,0.7394,0.59096,1.18955,0.81441,0.84158,0.85304,0.65127,1.04829,0.69277,1.39725,0.00446819,0.00446819,0.00446819
45,21901,0.72853,0.5808,1.17772,0.80563,0.85307,0.85283,0.65514,1.04435,0.69763,1.39315,0.00427565,0.00427565,0.00427565
46,22387.6,0.71658,0.57385,1.17977,0.81152,0.85779,0.85326,0.65198,1.04459,0.6996,1.39601,0.0040843,0.0040843,0.0040843
47,22874,0.71725,0.56867,1.1752,0.81158,0.85109,0.85094,0.65183,1.03805,0.69849,1.39219,0.00389445,0.00389445,0.00389445
48,23359.7,0.70478,0.56109,1.16621,0.80901,0.85331,0.84833,0.65126,1.03191,0.69637,1.38738,0.00370637,0.00370637,0.00370637
49,23844.9,0.69872,0.55232,1.15792,0.81379,0.84203,0.84566,0.65227,1.02872,0.6915,1.39043,0.00352037,0.00352037,0.00352037
50,24330.3,0.69358,0.54517,1.15886,0.81453,0.84412,0.84678,0.65355,1.0285,0.69282,1.3947,0.00333672,0.00333672,0.00333672
51,24816,0.6803,0.53385,1.15269,0.82021,0.84342,0.84807,0.65525,1.02704,0.6948,1.39426,0.00315572,0.00315572,0.00315572
52,25302.3,0.67239,0.52675,1.14876,0.82181,0.83488,0.84732,0.65581,1.02569,0.69506,1.39332,0.00297763,0.00297763,0.00297763
53,25788.1,0.66994,0.52102,1.14634,0.82697,0.83667,0.85025,0.65624,1.02515,0.69418,1.39301,0.00280275,0.00280275,0.00280275
54,26274.2,0.66082,0.5149,1.13689,0.8266,0.8394,0.85251,0.65603,1.02431,0.69212,1.39424,0.00263132,0.00263132,0.00263132
55,26760.1,0.65799,0.50452,1.13312,0.82319,0.84107,0.85009,0.65678,1.02226,0.69336,1.39381,0.00246363,0.00246363,0.00246363
56,27247.1,0.64779,0.50257,1.12912,0.82449,0.83896,0.85019,0.65742,1.02211,0.69646,1.39491,0.00229993,0.00229993,0.00229993
57,27733.9,0.64218,0.49438,1.12358,0.82066,0.83525,0.8478,0.65688,1.02327,0.69628,1.39796,0.00214046,0.00214046,0.00214046
58,28220.1,0.63287,0.48888,1.12185,0.8207,0.83514,0.84759,0.65682,1.02323,0.69736,1.39916,0.00198548,0.00198548,0.00198548
59,28700.5,0.62764,0.4832,1.11797,0.82375,0.83095,0.84988,0.65704,1.02388,0.69972,1.40017,0.00183523,0.00183523,0.00183523
60,29187.4,0.62243,0.47698,1.11362,0.82794,0.82868,0.84869,0.6555,1.02401,0.70008,1.40072,0.00168994,0.00168994,0.00168994
61,29673.8,0.61592,0.47122,1.11005,0.83221,0.8301,0.84979,0.65534,1.0235,0.70001,1.40176,0.00154982,0.00154982,0.00154982
62,30161,0.60869,0.47028,1.1075,0.83305,0.82899,0.85018,0.6558,1.02222,0.6991,1.40242,0.0014151,0.0014151,0.0014151
63,30648.4,0.60843,0.45923,1.10057,0.83238,0.8294,0.85129,0.65606,1.02336,0.70045,1.40462,0.00128599,0.00128599,0.00128599
64,31135.2,0.60264,0.45561,1.09824,0.83114,0.8297,0.85168,0.65621,1.02352,0.70137,1.40532,0.00116268,0.00116268,0.00116268
65,31622.2,0.59458,0.44999,1.09182,0.83163,0.82901,0.8511,0.65564,1.02457,0.70122,1.40675,0.00104537,0.00104537,0.00104537
66,32109.9,0.5887,0.44771,1.09194,0.82566,0.83257,0.84981,0.65413,1.02549,0.7022,1.4087,0.000934225,0.000934225,0.000934225
